number,sys_id,short_description,priority,state,assignment_group,assigned_to,opened_by,company,sys_created_on,sys_updated_on,link,age_days
INC0045293,037a12293bc9ba54399d5d0864e45a8f,Convero doesn't load in Edge,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/d4bea262337f9e1001691fa19e5c7b24"", ""value"": ""d4bea262337f9e1001691fa19e5c7b24""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/14bb9aaa33b79e1001691fa19e5c7b7b"", ""value"": ""14bb9aaa33b79e1001691fa19e5c7b7b""}",,2025-11-06 13:12:32,2025-11-14 08:05:06,,
INC0045097,03c97ad13b09b654399d5d0864e45a17,SolarWinds Alert | P4|  EMEA | UKI02 | London | GB | Node Down Alert: UKI02-CTXAPP01 has changed state to Down at UKI02,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/e4e40aa13bf4a210d00f0dc5e4e45a6e"", ""value"": ""e4e40aa13bf4a210d00f0dc5e4e45a6e""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/f05eae223b375e10d00f0dc5e4e45a94"", ""value"": ""f05eae223b375e10d00f0dc5e4e45a94""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/f05eae223b375e10d00f0dc5e4e45a94"", ""value"": ""f05eae223b375e10d00f0dc5e4e45a94""}",,2025-11-05 20:49:44,2025-11-14 08:05:07,,
INC0045847,03fde3753b893294399d5d0864e45ac8,Can not open,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/a85e6e223b375e10d00f0dc5e4e45ad9"", ""value"": ""a85e6e223b375e10d00f0dc5e4e45ad9""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/3095526e3bfb1e10d00f0dc5e4e45a67"", ""value"": ""3095526e3bfb1e10d00f0dc5e4e45a67""}",,2025-11-07 13:54:03,2025-11-14 08:05:08,,
INC0045705,0404ce713b05f654ae6be524c3e45a0c,Client advised a suspected cyber attack,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/769c2fad3bdc7690ae6be524c3e45a02"", ""value"": ""769c2fad3bdc7690ae6be524c3e45a02""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/68d2126a33f39e1001691fa19e5c7bf5"", ""value"": ""68d2126a33f39e1001691fa19e5c7bf5""}",,2025-11-07 06:17:37,2025-11-14 08:05:08,,
INC0043144,04304ad33b3c7ad0399d5d0864e45a4a,Visio,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/c3ceea62337f9e1001691fa19e5c7baa"", ""value"": ""c3ceea62337f9e1001691fa19e5c7baa""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/9d31a26a333b9e1001691fa19e5c7b2a"", ""value"": ""9d31a26a333b9e1001691fa19e5c7b2a""}",,2025-10-30 11:29:47,2025-11-14 08:05:09,,
INC0044634,044c80813b093a14ae6be524c3e45aff,token bloat,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/08d472c433502a1001691fa19e5c7b88"", ""value"": ""08d472c433502a1001691fa19e5c7b88""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/88ac0ea633739e1001691fa19e5c7b7e"", ""value"": ""88ac0ea633739e1001691fa19e5c7b7e""}",,2025-11-04 13:35:00,2025-11-14 08:05:10,,
INC0041934,045ecf923b703a90399d5d0864e45a99, SolarWinds Alert|P4| NCSA | ATT1 | Atlanta | US | Hardware Health Alert: DELL Serial Attached SCSI Disk on  att1-vh78.global.amec.com,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/e4e40aa13bf4a210d00f0dc5e4e45a6e"", ""value"": ""e4e40aa13bf4a210d00f0dc5e4e45a6e""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/a85e26ee333f9e1001691fa19e5c7bd8"", ""value"": ""a85e26ee333f9e1001691fa19e5c7bd8""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/a85e26ee333f9e1001691fa19e5c7bd8"", ""value"": ""a85e26ee333f9e1001691fa19e5c7bd8""}",,2025-10-27 14:37:59,2025-11-14 08:05:11,,
INC0014692,04696d983b5762d4399d5d0864e45a46,I cannot open .sha files in EA Desktop.,3,1,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/d5573f7c3396e2d001691fa19e5c7b30"", ""value"": ""d5573f7c3396e2d001691fa19e5c7b30""}",,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/afac922233f79e1001691fa19e5c7b9c"", ""value"": ""afac922233f79e1001691fa19e5c7b9c""}",,2025-08-07 12:34:39,2025-11-14 08:05:12,,
INC0043510,04ab1fe73bf83ad0ae6be524c3e45a21,Aspen One Engineering Suite 15|Installation issue,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/dcbea262337f9e1001691fa19e5c7b87"", ""value"": ""dcbea262337f9e1001691fa19e5c7b87""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/dcbea262337f9e1001691fa19e5c7b87"", ""value"": ""dcbea262337f9e1001691fa19e5c7b87""}",,2025-10-31 14:10:25,2025-11-14 08:05:13,,
INC0043646,050b39b33b74bad0ae6be524c3e45a06,"P3|AMER|US,GA|Commvault|Databases EVVSATT1EV1VS1_1 and  EVVSGATT1EV1VaultStore1_1_1 failed due to checksum error in server ATT1-SQL9",4,3,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/36744ee533fcea1001691fa19e5c7bf8"", ""value"": ""36744ee533fcea1001691fa19e5c7bf8""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/d8bea262337f9e1001691fa19e5c7bb9"", ""value"": ""d8bea262337f9e1001691fa19e5c7bb9""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/98be2ea23b375e10d00f0dc5e4e45a2a"", ""value"": ""98be2ea23b375e10d00f0dc5e4e45a2a""}",,2025-11-01 00:26:17,2025-11-14 08:05:13,,
INC0044639,05ed88893b093a14ae6be524c3e45aa3,Unable to use my  Authenticator App to access my work emails Outlook,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/ed3f2f5133e8ae5001691fa19e5c7ba9"", ""value"": ""ed3f2f5133e8ae5001691fa19e5c7ba9""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/76271e663b3f1e10d00f0dc5e4e45ab1"", ""value"": ""76271e663b3f1e10d00f0dc5e4e45ab1""}",,2025-11-04 13:41:10,2025-11-14 08:05:14,,
INC0044206,060f9fe43bcdb214ae6be524c3e45a9c,Updates failed,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/78aee6a23b375e10d00f0dc5e4e45af0"", ""value"": ""78aee6a23b375e10d00f0dc5e4e45af0""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/dd5c826633739e1001691fa19e5c7b35"", ""value"": ""dd5c826633739e1001691fa19e5c7b35""}",,2025-11-03 15:39:34,2025-11-14 08:05:15,,
INC0045676,0616ad313b4db654ae6be524c3e45ae8,Mouse not working properly,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/a3be22e23b375e10d00f0dc5e4e45a71"", ""value"": ""a3be22e23b375e10d00f0dc5e4e45a71""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/a1b22a263b335e10d00f0dc5e4e45ac7"", ""value"": ""a1b22a263b335e10d00f0dc5e4e45ac7""}",,2025-11-07 04:00:44,2025-11-14 08:05:15,,
INC0044980,0690951d3bc93654399d5d0864e45a7c,No abren los planos CAD,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/dcbea262337f9e1001691fa19e5c7b87"", ""value"": ""dcbea262337f9e1001691fa19e5c7b87""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/4e80d2623bbb1e10d00f0dc5e4e45abd"", ""value"": ""4e80d2623bbb1e10d00f0dc5e4e45abd""}",,2025-11-05 13:20:09,2025-11-14 08:05:16,,
INC0046103,069fcc263bc13694399d5d0864e45a4e,i can't access my e-mail or teams on my phone and the authenticator app it's gave me note that there is no e-mail.,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/ce8eae623b375e10d00f0dc5e4e45a51"", ""value"": ""ce8eae623b375e10d00f0dc5e4e45a51""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/dcdd92aa3bbf1e10d00f0dc5e4e45a6f"", ""value"": ""dcdd92aa3bbf1e10d00f0dc5e4e45a6f""}",,2025-11-09 05:47:42,2025-11-14 08:05:17,,
INC0043429,06b2e2a33bf87ed0399d5d0864e45af8,not able to access the azolve,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/dcbea262337f9e1001691fa19e5c7b87"", ""value"": ""dcbea262337f9e1001691fa19e5c7b87""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/dd312a2e3bff1e10d00f0dc5e4e45a45"", ""value"": ""dd312a2e3bff1e10d00f0dc5e4e45a45""}",,2025-10-31 08:39:45,2025-11-14 08:05:18,,
INC0044203,079ddf203bcdb214ae6be524c3e45acd,no se puede iniciar sección en equipo de credenciales,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/306eb8e53b85e210d00f0dc5e4e45adc"", ""value"": ""306eb8e53b85e210d00f0dc5e4e45adc""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/717d5a2633f79e1001691fa19e5c7b98"", ""value"": ""717d5a2633f79e1001691fa19e5c7b98""}",,2025-11-03 15:30:30,2025-11-14 08:05:19,,
INC0014890,0806c5a83bd36a94ae6be524c3e45a45,Unable to connect,3,1,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/d5573f7c3396e2d001691fa19e5c7b30"", ""value"": ""d5573f7c3396e2d001691fa19e5c7b30""}",,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/82775ae63b3f1e10d00f0dc5e4e45a36"", ""value"": ""82775ae63b3f1e10d00f0dc5e4e45a36""}",,2025-08-08 04:39:53,2025-11-14 08:05:19,,
INC0044675,08126c493bc5fe14399d5d0864e45a21,Enquiry|| user manager cannot be able to approve the request --RITM0080103 as manger: Chris.Barton@woodplc.com has not received for approval,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/9f6e6eee333f9e1001691fa19e5c7bfa"", ""value"": ""9f6e6eee333f9e1001691fa19e5c7bfa""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/9f6e6eee333f9e1001691fa19e5c7bfa"", ""value"": ""9f6e6eee333f9e1001691fa19e5c7bfa""}",,2025-11-04 15:09:18,2025-11-14 08:05:20,,
INC0044561,086e93383b4d7e14399d5d0864e45a6c,Unable to open and save full invoice copies to folder,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/8daa0c4f3b022e10d00f0dc5e4e45ad7"", ""value"": ""8daa0c4f3b022e10d00f0dc5e4e45ad7""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/d70ce2e2333f9e1001691fa19e5c7bd2"", ""value"": ""d70ce2e2333f9e1001691fa19e5c7bd2""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/4dee4ae233b39e1001691fa19e5c7b2d"", ""value"": ""4dee4ae233b39e1001691fa19e5c7b2d""}",,2025-11-04 10:12:53,2025-11-14 08:05:21,,
INC0039231,08f1b0b73b647210ae6be524c3e45a75,Hanging & does not evaluate the cost,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/425d6c093bb02210d00f0dc5e4e45a11"", ""value"": ""425d6c093bb02210d00f0dc5e4e45a11""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/d780ee2a3bff1e10d00f0dc5e4e45aea"", ""value"": ""d780ee2a3bff1e10d00f0dc5e4e45aea""}",,2025-10-19 08:50:03,2025-11-14 08:05:21,,
INC0013995,0a624bbb3b8baa94399d5d0864e45a66,I need Access for EA and required for Habshan Project,3,1,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/d5573f7c3396e2d001691fa19e5c7b30"", ""value"": ""d5573f7c3396e2d001691fa19e5c7b30""}",,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/42fcca2a33739e1001691fa19e5c7ba3"", ""value"": ""42fcca2a33739e1001691fa19e5c7ba3""}",,2025-08-06 05:49:09,2025-11-14 08:05:22,,
INC0027975,0a6f77993bc8f290ae6be524c3e45ab6,P4| APAC|AU.WA.Perth.1.St Georges Terrace|Aspen Hysus|Aspen Hysus is not working,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/e53fab1d3bacea50d00f0dc5e4e45af1"", ""value"": ""e53fab1d3bacea50d00f0dc5e4e45af1""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/928eee623b375e10d00f0dc5e4e45a57"", ""value"": ""928eee623b375e10d00f0dc5e4e45a57""}",,2025-09-17 09:00:49,2025-11-14 08:05:23,,
INC0045817,0b1adf393b053294399d5d0864e45a89,OneDrive issue - New user account,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/cf7ea222337f9e1001691fa19e5c7bfb"", ""value"": ""cf7ea222337f9e1001691fa19e5c7bfb""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/7802ea6e333b9e1001691fa19e5c7b17"", ""value"": ""7802ea6e333b9e1001691fa19e5c7b17""}",,2025-11-07 12:31:19,2025-11-14 08:05:24,,
INC0044787,0b625f493b4dba14ae6be524c3e45a7e,"power BI Access only available on web, in the app not available project access",3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/586e6aee333f9e1001691fa19e5c7bf2"", ""value"": ""586e6aee333f9e1001691fa19e5c7bf2""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/ae5f92ee33f79e1001691fa19e5c7bcf"", ""value"": ""ae5f92ee33f79e1001691fa19e5c7bcf""}",,2025-11-05 04:00:13,2025-11-14 08:05:24,,
INC0045830,0b85a7bd3bc53294399d5d0864e45aac,Storage issue – C: drive full,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/345e66ee333f9e1001691fa19e5c7bea"", ""value"": ""345e66ee333f9e1001691fa19e5c7bea""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/345e66ee333f9e1001691fa19e5c7bea"", ""value"": ""345e66ee333f9e1001691fa19e5c7bea""}",,2025-11-07 13:16:13,2025-11-14 08:05:25,,
INC0021515,0bd1aadf3b272250399d5d0864e45a7b,when I try to digitally sign a document it fails,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/d870ca693bb4a210d00f0dc5e4e45a89"", ""value"": ""d870ca693bb4a210d00f0dc5e4e45a89""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/46adca2e33739e1001691fa19e5c7b2f"", ""value"": ""46adca2e33739e1001691fa19e5c7b2f""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/8e711aa63bbb1e10d00f0dc5e4e45acf"", ""value"": ""8e711aa63bbb1e10d00f0dc5e4e45acf""}",,2025-08-29 10:39:18,2025-11-14 08:05:26,,
INC0027516,0c041bc93bc0b614399d5d0864e45aa3,Monitor is not working,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/a020022133fcea1001691fa19e5c7bea"", ""value"": ""a020022133fcea1001691fa19e5c7bea""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/2965e22233bb9e1001691fa19e5c7bb2"", ""value"": ""2965e22233bb9e1001691fa19e5c7bb2""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/52e7aeee3b735e10d00f0dc5e4e45a15"", ""value"": ""52e7aeee3b735e10d00f0dc5e4e45a15""}",,2025-09-16 11:15:03,2025-11-14 08:05:27,,
INC0045199,0d08996d3bc17254ae6be524c3e45a8e,No possibility to open document,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/e59ee2a23b375e10d00f0dc5e4e45a5f"", ""value"": ""e59ee2a23b375e10d00f0dc5e4e45a5f""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/250c462a3b3b1e10d00f0dc5e4e45aca"", ""value"": ""250c462a3b3b1e10d00f0dc5e4e45aca""}",,2025-11-06 08:22:40,2025-11-14 08:05:28,,
